,graph_name,imp_failed,paper_fail,answers_match,Z_sols_match,improved_time,imp_time,paper_time,time_difference,imp_obj,paper_obj,imp_X_sol,paper_X_sol,imp_Y_sol,paper_Y_sol,imp_Z_sol,paper_Z_sol
001,rndgraph11-40_1-1-1_001,False,no,yes,True,False,2.258,1.048,1.21,5,5,{26},[26],{11},[11],[15],[15]
002,rndgraph11-40_1-1-1_002,False,no,yes,True,True,1.125,2.097,-0.972,4,4,{10},[10],{1},[37],[29],[29]
003,rndgraph11-40_1-1-1_003,False,no,yes,True,True,0.422,0.907,-0.485,3,3,{13},[6],{2},[34],[1],[1]
004,rndgraph11-40_1-1-1_004,False,no,yes,False,False,0.761,0.474,0.287,4,4,{4},[10],{40},[39],[28],[4]
005,rndgraph11-40_1-1-1_005,False,no,yes,False,False,0.478,0.471,0.007,4,4,{9},[22],{1},[38],[22],[19]
006,rndgraph11-40_1-1-1_006,False,no,yes,False,False,1.083,0.811,0.272,4,4,{21},[9],{1},[1],[23],[21]
007,rndgraph11-40_1-1-1_007,False,no,yes,False,False,0.792,0.417,0.375,4,4,{32},[18],{1},[12],[18],[33]
008,rndgraph11-40_1-1-1_008,False,no,yes,True,False,2.755,2.211,0.544,4,4,{18},[18],{34},[34],[9],[9]
009,rndgraph11-40_1-1-1_009,False,no,yes,False,True,0.917,1.382,-0.465,4,4,{4},[4],{17},[5],[5],[17]
010,rndgraph11-40_1-1-1_010,False,no,yes,True,True,0.845,1.746,-0.901,4,4,{4},[4],{16},[16],[22],[22]
011,rndgraph11-40_1-1-1_011,False,no,yes,False,True,2.445,3.353,-0.908,3,3,{24},[4],{18},[39],[39],[18]
012,rndgraph11-40_1-1-1_012,False,no,yes,False,True,2.968,3.444,-0.476,4,4,{37},[30],{2},[28],[35],[18]
013,rndgraph11-40_1-1-1_013,False,no,yes,False,False,0.54,0.484,0.056,5,5,{13},[23],{1},[22],[23],[13]
014,rndgraph11-40_1-1-1_014,False,no,yes,False,True,0.72,0.756,-0.036,4,4,{25},[25],{1},[9],[28],[40]
015,rndgraph11-40_1-1-1_015,False,no,yes,True,False,1.039,0.596,0.443,4,4,{16},[1],{1},[40],[17],[17]
016,rndgraph11-40_1-1-1_016,False,no,yes,False,True,0.624,1.305,-0.681,4,4,{4},[23],{1},[6],[23],[4]
017,rndgraph11-40_1-1-1_017,False,no,yes,True,True,1.27,1.723,-0.453,3,3,{1},[1],{18},[18],[28],[28]
018,rndgraph11-40_1-1-1_018,False,no,yes,True,True,0.319,0.898,-0.579,5,5,{22},[29],{40},[19],[23],[23]
019,rndgraph11-40_1-1-1_019,False,no,yes,True,False,1.069,1.014,0.055,3,3,{6},[5],{1},[10],[22],[22]
020,rndgraph11-40_1-1-1_020,False,no,NO,True,True,1.088,1.445,-0.357,5,3,{39},[39],{13},[13],[10],[10]
