,name,N,density,Budgets,avg v2 sol time,avg og sol time,avg v2 success,avg og success,avg v2 time diff
0,rndgraph05-100_1-1-1,100,05,"[1, 1, 1]",1.43,3.57,1.0,1.0,-2.14
1,rndgraph05-100_2-2-2,100,05,"[2, 2, 2]",12.1,1313.6,0.6,0.6,-1301.5
2,rndgraph05-20_1-1-1,20,05,"[1, 1, 1]",0.15,0.31,1.0,1.0,-0.16
3,rndgraph05-20_1-3-3,20,05,"[1, 3, 3]",19.57,65.83,1.0,1.0,-46.26
4,rndgraph05-20_2-2-2,20,05,"[2, 2, 2]",1.19,3.55,1.0,1.0,-2.36
5,rndgraph05-20_3-1-3,20,05,"[3, 1, 3]",0.1,0.36,1.0,1.0,-0.26
6,rndgraph05-20_3-3-1,20,05,"[3, 3, 1]",8.36,22.42,1.0,1.0,-14.06
7,rndgraph05-20_3-3-3,20,05,"[3, 3, 3]",10.32,24.99,1.0,1.0,-14.67
8,rndgraph05-40_1-1-1,40,05,"[1, 1, 1]",0.53,0.54,1.0,1.0,-0.01
9,rndgraph05-40_1-3-3,40,05,"[1, 3, 3]",145.68,980.94,1.0,1.0,-835.26
10,rndgraph05-40_2-2-2,40,05,"[2, 2, 2]",8.29,24.15,1.0,1.0,-15.86
11,rndgraph05-40_3-1-3,40,05,"[3, 1, 3]",0.75,1.89,1.0,1.0,-1.14
12,rndgraph05-40_3-3-1,40,05,"[3, 3, 1]",73.12,180.16,1.0,1.0,-107.04
13,rndgraph05-60_1-1-1,60,05,"[1, 1, 1]",1.05,1.68,1.0,1.0,-0.63
14,rndgraph05-60_1-3-3,60,05,"[1, 3, 3]",221.03,347.67,0.9,0.9,-126.64
15,rndgraph05-60_2-2-2,60,05,"[2, 2, 2]",17.84,1374.1,0.95,0.95,-1356.26
16,rndgraph05-80_1-1-1,80,05,"[1, 1, 1]",1.49,6.37,1.0,1.0,-4.88
17,rndgraph05-80_2-2-2,80,05,"[2, 2, 2]",13.77,1506.77,0.7,0.7,-1493.0
18,rndgraph06-40_1-1-1,40,06,"[1, 1, 1]",0.72,0.88,1.0,1.0,-0.16
19,rndgraph06-40_2-2-2,40,06,"[2, 2, 2]",7.27,10.63,1.0,1.0,-3.36
20,rndgraph07-40_1-1-1,40,07,"[1, 1, 1]",0.59,0.98,1.0,1.0,-0.39
21,rndgraph07-40_2-2-2,40,07,"[2, 2, 2]",9.29,27.81,1.0,1.0,-18.52
22,rndgraph08-40_1-1-1,40,08,"[1, 1, 1]",0.54,1.04,1.0,1.0,-0.5
23,rndgraph08-40_2-2-2,40,08,"[2, 2, 2]",11.18,51.0,1.0,1.0,-39.82
24,rndgraph09-40_1-1-1,40,09,"[1, 1, 1]",0.37,0.75,1.0,1.0,-0.38
25,rndgraph09-40_2-2-2,40,09,"[2, 2, 2]",11.65,154.28,0.95,0.95,-142.63
26,rndgraph10-40_1-1-1,40,10,"[1, 1, 1]",0.75,1.55,1.0,1.0,-0.8
27,rndgraph10-40_2-2-2,40,10,"[2, 2, 2]",9.98,119.93,1.0,1.0,-109.95
28,rndgraph11-40_1-1-1,40,11,"[1, 1, 1]",0.58,1.33,1.0,1.0,-0.75
29,rndgraph11-40_2-2-2,40,11,"[2, 2, 2]",7.21,258.28,1.0,1.0,-251.07
30,rndgraph12-40_1-1-1,40,12,"[1, 1, 1]",1.11,2.08,1.0,1.0,-0.97
31,rndgraph12-40_2-2-2,40,12,"[2, 2, 2]",10.87,149.54,1.0,1.0,-138.67
32,rndgraph13-40_1-1-1,40,13,"[1, 1, 1]",1.45,2.08,1.0,1.0,-0.63
33,rndgraph13-40_2-2-2,40,13,"[2, 2, 2]",9.39,269.59,0.95,0.95,-260.2
34,rndgraph14-40_2-2-2,40,14,"[2, 2, 2]",7.93,262.2,1.0,1.0,-254.27
35,rndgraph15-40_2-2-2,40,15,"[2, 2, 2]",7.42,33.16,0.95,0.95,-25.74
